                                                n   % val%
Tablada                                         4 0.0  0.0
Temple of Vesta                                 4 0.0  0.0
Tenerife                                        4 0.0  0.0
Thrace                                          4 0.0  0.0
Tolosa                                          4 0.0  0.0
Úbeda                                           4 0.0  0.0
Urbino                                          4 0.0  0.0
Vega de Granada                                 4 0.0  0.0
Villafranca                                     4 0.0  0.0
Vinaròs                                         4 0.0  0.0
Alcolea                                         3 0.0  0.0
Almanzor                                        3 0.0  0.0
Almazán                                         3 0.0  0.0
Almodóvar del Río                               3 0.0  0.0
Almonte                                         3 0.0  0.0
Anamur                                          3 0.0  0.0
Ancona                                          3 0.0  0.0
Antwerp                                         3 0.0  0.0
Apennine Mountains                              3 0.0  0.0
Arctic                                          3 0.0  0.0
Arlanza                                         3 0.0  0.0
Aseo                                            3 0.0  0.0
Asilah                                          3 0.0  0.0
Badajoz                                         3 0.0  0.0
Bavaria                                         3 0.0  0.0
Bujía                                           3 0.0  0.0
calle de Toledo                                 3 0.0  0.0
Cambrai                                         3 0.0  0.0
Capua                                           3 0.0  0.0
Carabanchel                                     3 0.0  0.0
Cártama                                         3 0.0  0.0
Comares                                         3 0.0  0.0
Congo                                           3 0.0  0.0
Corfu                                           3 0.0  0.0
Cubagua                                         3 0.0  0.0
Dacia                                           3 0.0  0.0
Delphi                                          3 0.0  0.0
East Indies                                     3 0.0  0.0
Empire of Trebizond                             3 0.0  0.0
Estela                                          3 0.0  0.0
Estremoz                                        3 0.0  0.0
Gaeta                                           3 0.0  0.0
Irun                                            3 0.0  0.0
Java                                            3 0.0  0.0
Kingdom of Iberia                               3 0.0  0.0
La Gomera                                       3 0.0  0.0
Lerma                                           3 0.0  0.0
Liège                                           3 0.0  0.0
Lorca                                           3 0.0  0.0
Lugo                                            3 0.0  0.0
Madián                                          3 0.0  0.0
Mainz                                           3 0.0  0.0
Marbella                                        3 0.0  0.0
Martos                                          3 0.0  0.0
Masalanca                                       3 0.0  0.0
Mauritania                                      3 0.0  0.0
Mechelen                                        3 0.0  0.0
Medina Sidonia                                  3 0.0  0.0
Mesopotamia                                     3 0.0  0.0
Moab                                            3 0.0  0.0
Monforte                                        3 0.0  0.0
Montalbán                                       3 0.0  0.0
Montilla                                        3 0.0  0.0
Mount Tabor                                     3 0.0  0.0
Mysia                                           3 0.0  0.0
Old Castile                                     3 0.0  0.0
Osuna                                           3 0.0  0.0
Palacio de Bibataubín                           3 0.0  0.0
Peloponnese                                     3 0.0  0.0
Piedmont                                        3 0.0  0.0
Plaza de la Olivera                             3 0.0  0.0
Pomas                                           3 0.0  0.0
Puerta del Sol                                  3 0.0  0.0
Río de la Plata                                 3 0.0  0.0
Russia                                          3 0.0  0.0
Saint-Jean-de-Luz                               3 0.0  0.0
San Ginés                                       3 0.0  0.0
San Marcos                                      3 0.0  0.0
Sansueña                                        3 0.0  0.0
Santa María                                     3 0.0  0.0
Segorbe                                         3 0.0  0.0
Sheba                                           3 0.0  0.0
Spanish Florida                                 3 0.0  0.0
Tarragona                                       3 0.0  0.0
Teruel                                          3 0.0  0.0
Tetuán                                          3 0.0  0.0
Tormes                                          3 0.0  0.0
Trujillo                                        3 0.0  0.0
Urgell                                          3 0.0  0.0
Vandalia                                        3 0.0  0.0
Vera                                            3 0.0  0.0
Aachen                                          2 0.0  0.0
Acheron                                         2 0.0  0.0
Aigues-Mortes                                   2 0.0  0.0
Alburquerque                                    2 0.0  0.0
Alcázar                                         2 0.0  0.0
Aldehuela                                       2 0.0  0.0
Alentejo                                        2 0.0  0.0
Algaba                                          2 0.0  0.0
Algarbes                                        2 0.0  0.0
Alhama                                          2 0.0  0.0
Almagro                                         2 0.0  0.0
Almansa                                         2 0.0  0.0
Almenara                                        2 0.0  0.0
Altamira                                        2 0.0  0.0
Amaltea                                         2 0.0  0.0
Anatolia                                        2 0.0  0.0
Andaya                                          2 0.0  0.0
Ardenia                                         2 0.0  0.0
Arenal                                          2 0.0  0.0
Arévalo                                         2 0.0  0.0
Arjona                                          2 0.0  0.0
Assyrian Empire                                 2 0.0  0.0
Axarquía                                        2 0.0  0.0
Belmirar                                        2 0.0  0.0
Besançon                                        2 0.0  0.0
Biarne                                          2 0.0  0.0
Brabante                                        2 0.0  0.0
Byzantine Empire                                2 0.0  0.0
Cabra                                           2 0.0  0.0
Calahorra                                       2 0.0  0.0
Calès                                           2 0.0  0.0
calle de Santiago                               2 0.0  0.0
Canaán                                          2 0.0  0.0
Cantillana                                      2 0.0  0.0
Cape of Good Hope                               2 0.0  0.0
Caramania                                       2 0.0  0.0
Caria                                           2 0.0  0.0
Caribbean                                       2 0.0  0.0
Carpacio                                        2 0.0  0.0
Carrión de los Condes                           2 0.0  0.0
Caspian Sea                                     2 0.0  0.0
Castillanzul                                    2 0.0  0.0
Castilleja                                      2 0.0  0.0
Castle of Castilnovo                            2 0.0  0.0
Cervera                                         2 0.0  0.0
Cilicia                                         2 0.0  0.0
Covadonga                                       2 0.0  0.0
Cremona                                         2 0.0  0.0
Dueñas                                          2 0.0  0.0
Engaddí                                         2 0.0  0.0
Eritrea                                         2 0.0  0.0
Erymanthos                                      2 0.0  0.0
Esgueva River                                   2 0.0  0.0
Estella                                         2 0.0  0.0
Etruria                                         2 0.0  0.0
Euphrates                                       2 0.0  0.0
Famagusta                                       2 0.0  0.0
Finisterre                                      2 0.0  0.0
Fuente del Sauco                                2 0.0  0.0
Fuentes                                         2 0.0  0.0
Galaad                                          2 0.0  0.0
Galatia                                         2 0.0  0.0
Gandia                                          2 0.0  0.0
Gange                                           2 0.0  0.0
Gelves                                          2 0.0  0.0
Generalife                                      2 0.0  0.0
Gipuzkoa                                        2 0.0  0.0
Gran Canaria                                    2 0.0  0.0
Guadalcázar                                     2 0.0  0.0
Guadix                                          2 0.0  0.0
Helicona                                        2 0.0  0.0
Henares                                         2 0.0  0.0
Hippo Regius                                    2 0.0  0.0
Hispania Baetica                                2 0.0  0.0
Hispaniola                                      2 0.0  0.0
Huesca                                          2 0.0  0.0
Huete                                           2 0.0  0.0
Iceland                                         2 0.0  0.0
Iglesia de San Miguel el Alto                   2 0.0  0.0
Kleve                                           2 0.0  0.0
Kraków                                          2 0.0  0.0
Languedoc                                       2 0.0  0.0
Larache                                         2 0.0  0.0
Las Yeguas                                      2 0.0  0.0
Lavapiés                                        2 0.0  0.0
Leganés                                         2 0.0  0.0
Lleida                                          2 0.0  0.0
Lozoya                                          2 0.0  0.0
Luxembourg                                      2 0.0  0.0
Madalena                                        2 0.0  0.0
Magdalo                                         2 0.0  0.0
Malacca                                         2 0.0  0.0
Malindi                                         2 0.0  0.0
Mambré                                          2 0.0  0.0
Mansilla                                        2 0.0  0.0
Marne                                           2 0.0  0.0
Medellín                                        2 0.0  0.0
Media                                           2 0.0  0.0
Medinaceli                                      2 0.0  0.0
Mers El Kebir                                   2 0.0  0.0
Mexico City                                     2 0.0  0.0
Mirabel                                         2 0.0  0.0
Montes Claros                                   2 0.0  0.0
montes Rifeos                                   2 0.0  0.0
Montpellier                                     2 0.0  0.0
Morón                                           2 0.0  0.0
Mosa                                            2 0.0  0.0
Moscovia                                        2 0.0  0.0
Móstoles                                        2 0.0  0.0
Mount Bethel                                    2 0.0  0.0
Mount Vesuvius                                  2 0.0  0.0
Mozambique                                      2 0.0  0.0
Nájera                                          2 0.0  0.0
Nice                                            2 0.0  0.0
Normandy                                        2 0.0  0.0
Ofir                                            2 0.0  0.0
Olías                                           2 0.0  0.0
Olmedo                                          2 0.0  0.0
Orihuela                                        2 0.0  0.0
Otranto                                         2 0.0  0.0
Padua                                           2 0.0  0.0
Palenzuela                                      2 0.0  0.0
Patmos                                          2 0.0  0.0
Peñaflor                                        2 0.0  0.0
Pescara                                         2 0.0  0.0
Phrygia                                         2 0.0  0.0
Piedrahíta                                      2 0.0  0.0
Pisa                                            2 0.0  0.0
plaza Mayor                                     2 0.0  0.0
Plymouth                                        2 0.0  0.0
Porto Saona                                     2 0.0  0.0
Pyramids                                        2 0.0  0.0
Quivira                                         2 0.0  0.0
Requena                                         2 0.0  0.0
Rhine                                           2 0.0  0.0
Ribadeo                                         2 0.0  0.0
Roncevaux Pass                                  2 0.0  0.0
Saldaña                                         2 0.0  0.0
San Agustín                                     2 0.0  0.0
San Andrés                                      2 0.0  0.0
San Antón                                       2 0.0  0.0
San Felipe                                      2 0.0  0.0
San Francisco                                   2 0.0  0.0
San Luis                                        2 0.0  0.0
San Miguel                                      2 0.0  0.0
Santarém                                        2 0.0  0.0
Santo Domingo                                   2 0.0  0.0
Sarrià                                          2 0.0  0.0
Sedom                                           2 0.0  0.0
Seleucia                                        2 0.0  0.0
Selín                                           2 0.0  0.0
Senir                                           2 0.0  0.0
Sigüenza                                        2 0.0  0.0
Sobrarbe                                        2 0.0  0.0
Strasbourg                                      2 0.0  0.0
Sweden                                          2 0.0  0.0
Tabladillo                                      2 0.0  0.0
Tafalla                                         2 0.0  0.0
Tafilalt                                        2 0.0  0.0
Tambico                                         2 0.0  0.0
Tanais                                          2 0.0  0.0
Tarsus                                          2 0.0  0.0
Terranova                                       2 0.0  0.0
Tibar                                           2 0.0  0.0
Tiopia                                          2 0.0  0.0
Toro                                            2 0.0  0.0
Torres Bermejas Castle                          2 0.0  0.0
Tortosa                                         2 0.0  0.0
Turin                                           2 0.0  0.0
Turkestan                                       2 0.0  0.0
Tuscany                                         2 0.0  0.0
Valenzuela                                      2 0.0  0.0
Viana                                           2 0.0  0.0
Villahermosa                                    2 0.0  0.0
Viseu                                           2 0.0  0.0
Wallachia                                       2 0.0  0.0
Zarza                                           2 0.0  0.0
Abarima                                         1 0.0  0.0
Abenamar                                        1 0.0  0.0
Abenaya                                         1 0.0  0.0
Abrruzzo                                        1 0.0  0.0
Abruzzo                                         1 0.0  0.0
Acroya                                          1 0.0  0.0
Advares                                         1 0.0  0.0
